curso,timestamp,q1,q2,q3,q4,q5,q6,q7
CDD,5/24/2019 11:49:02,7,8,5,4,14,11,Sim
CDD,5/24/2019 11:49:06,6,9,6,0,97,76,Não
CDD,5/24/2019 11:49:06,6,9,4,0,68,71,Não
CDD,5/24/2019 11:49:16,7,7,5,0,22,28,Sim
CDD,5/24/2019 11:49:17,4,8,4,0,40,33,Não
CDD,5/24/2019 11:49:19,7,8,6,2,19,9,Não
CDD,5/24/2019 11:49:22,4,8,4,0,40,33,Não
CDD,5/24/2019 11:49:24,4,6,6,5,74,74,Sim
CDD,5/24/2019 11:49:25,7,7,5,2,2,13,Sim
CDD,5/24/2019 11:49:26,6,8,5,2,16,45,Não
CDD,5/24/2019 11:49:28,7,8,5,0,12,12,Não
CDD,5/24/2019 11:49:29,6,8,6,2,14,10,Não
CDD,5/24/2019 11:49:42,6,7,5,2,0,0,Não
CDD,5/24/2019 11:49:43,7,9,6,2,10,9,Não
CDD,5/24/2019 11:49:52,5,9,5,5,100,72,Não
CDD,5/24/2019 11:49:55,5,8,5,3,4,5,Não
CDD,5/24/2019 11:49:58,7,7,5,0,2,5,Não
CDD,5/24/2019 11:49:58,8,10,6,4,32,17,Sim
CDD,5/24/2019 11:50:04,7,9,5,4,10,12,Não
CDD,5/24/2019 11:50:15,7,8,8,1,4,3,Sim
CDD,5/24/2019 11:51:30,7,10,5,0,42,32,Não
CDD,5/24/2019 15:36:46,6,8,5,0,74,50,Não
CDD,5/25/2019 1:30:17,5,8,5,3,5,0,Sim
FPCC,5/24/2019 17:21:47,7,7,4,0,0,1,Não
FPCC,5/24/2019 17:22:02,6,8,3,3,32,55,Não
FPCC,5/24/2019 17:23:30,6,7,3,0,5,3,Sim
FPCC,5/24/2019 17:23:34,7,7,3,0,6,10,Não
FPCC,5/24/2019 17:24:17,6,9,3,4,21,4,Não
FPCC,5/24/2019 17:26:18,3,7,2,8,21,20,Não
FPCC,5/24/2019 17:33:23,5,6,3,3,0,4,Sim
FPCC,5/24/2019 17:41:44,5,8,2,4,6,6,Não
FPCC,5/24/2019 17:42:10,6,7,3,0,0,0,Não
FPCC,5/24/2019 17:42:22,6,7,2,2,5,8,Não
FPCC,5/24/2019 17:42:24,7,9,3,0,0,0,Não
FPCC,5/24/2019 17:42:39,5,7,3,0,10,15,Não
FPCC,5/24/2019 17:42:49,6,7,3,6,1,0,Não
FPCC,5/24/2019 17:42:50,7,8,2,1,0,0,Não
FPCC,5/24/2019 17:42:57,7,9,2,3,0,2,Não
FPCC,5/24/2019 17:43:09,7,9,2,2,45,37,Não
FPCC,5/24/2019 17:43:35,6,6,3,0,18,8,Não
FPCC,5/24/2019 17:43:40,7,7,3,0,0,1,Não
FPCC,5/24/2019 17:43:59,5,6,2,1,4,3,Não
FPCC,5/24/2019 17:44:18,6,7,3,1,0,0,Não
FPCC,5/24/2019 17:44:33,6,6,3,0,0,0,Não
FPCC,5/24/2019 17:44:41,6,7,3,1,0,0,Não
FPCC,5/24/2019 17:53:58,6,8,2,2,5,4,Não